,title,body,publish_time
39,中租太陽能獲利占比逐增 成中租台灣主要成長動能之一,<p>中租控股旗下太陽能廠不但是台灣第一大，太陽能獲利也逐季提高中，已成為中租台灣主要獲利成長動能之一，中租控股董事長陳鳳龍表示，中租控股已從設太陽電廠，進入到發展儲能及售電階段，並已完成三筆售電。</p><p>中租控股在26日舉行上半年營運法人說明會，中租控股在綠能發展則是法人關注的焦點。</p><p>中租控股獲利中，來自太陽能獲利占比已逾一成，已成為台灣獲利主要來源之一，中租控股董事長陳鳳龍表示，中租控股已從設太陽電廠，已進入到發展儲能及售電，目前已達到400萬瓦，已有10％市占。至於售電的部分，已完成3筆售電但還未達公告時間，其中有二筆是賣給二大企業（目前還不能公布），等到可以公布即會公告；另一筆是賣給中租集團本身，中租控股至2030年，台灣辦公室有百分之五十會用綠電。</p><p>至於售電對中租控股獲利影響，陳鳳龍說，若假設售電超過蠆售價格10％，可以使內部報酬率（IRR）提高1％；超過20％，即可使IRR提高2％</p><p>陳鳳龍表示，經過半年營運之後，台灣部份是營運成長目標15％，甚至可以追求更高的目標，東協年初預估20％，今年成長率可以期待，然因大陸封城比原來的期待略長且部份地區持續清零，目前要追求更高成長仍不足，因此向下修正為10％。</p>, 08/27 09:37 
40,本土商力麗與經部簽約   海峽風場搶下離岸二階名單最末席,<p>桃園麗威風場去年有飛安疑慮，遭經濟部剔除資格。本土商力麗今宣布，旗下位在彰化外海的海峽風場，已經以其中的300MW容量完成遞補，月中與經濟部完成行政契約簽署，正式擁有風場開發權，將趕2025年底完工併網。</p><p>麗威風場屬於政府離岸風電第二階段潛力場址5.6GW中的入選名額，但因後來民航局跳出指影響桃機飛安出局。歷經多次審查，力麗日前其實已拿到遞補資格，卻直到今天才正式宣布。</p><p>負責主導力麗集團綠色能源的天方能源董事長甘正智表示，與力麗合作的GIP（全球基礎建設合夥基金）是一家基礎建設投資基金公司，總部位在美國紐約。今年五月因GIP集團併購德國wpd旗下離岸風電事業，必須獲得經濟部同意。在經過數次審查會議，確定這是國際上常見的企業併購案後，才讓行政契約簽訂順利完成。</p><p>海峽風電籌備4年多，總裝置容量約為600MW，風場面積為73.8平方公里，離岸最近處約14公里，風速每秒約8公尺。核配的300MW在併網發電後，每年可貢獻11億2500萬度電，可供30萬戶家庭使用。 </p><p>力麗集團總裁郭銓慶表示，身為台灣本土第一家傳產集團的離岸風電開發商，儘管未來仍可能面對疫情干擾、物價上漲、國際局勢變化等諸多挑戰，力麗與GIP集團已做好準備，對於在時程內完成併網使命，深具信心。</p><p>力麗也強調，取得300MW容量後，將再和GIP聯手，積極參與政府年底的第三階段離岸風電區塊開發競標，爭取另外的300MW容量。</p>, 08/26 23:34 
41,美股年底前可望震盪向上 將帶動REITs走升,<p>美國通膨可能在第三季達高峰後開始下降，聯準會鷹派預期將下降，儘管仍有震盪，但投信法人預估，今年股市低點已過。此外，預期美國經濟將會走緩至年底，但隨著庫存去化與通膨下降，加上就業與薪資水準仍良好下，美國經濟將軟著陸，衰退機率不大，在升息趨緩及基本穩健下，預期股市下檔風險有限，美股年底前將震盪向上，也將帶動REITs股價走升。</p><p>台新北美收益資產證券化基金經理人李文孝表示，美國REITs獲利明確度高，租賃與租金仍處在擴張階段，第二季企業財報佳，有高達72％的企業超越預期，較前一季的63％大幅上升，並有近七成的企業調高全年獲利展望，主流產業成長力道依舊強勁，受經濟影響幅度輕微。</p><p>目前美國REITs股利率彈升至4％，加上仍處折價，深具吸引力。就產業別分析，物流中心第二季表現維持熱絡，另外，全美住宅租金6月年增率13.7％，第二季上揚14.6％，下半年租金成長預估8～12％，明年預估仍有5～8％成長空間。</p><p>野村全球不動產證券化基金經理人李雅婷表示，預估今年在疫情獲得控制的情況下，不動產今年度獲利可望成長11％，目前產業評價面相對私有不動產、債市及股市都便宜。</p>, 08/26 21:03 
42,大陸擴大需求 長線陸股看好,<p>大陸在防疫政策維持動態清零定調後，市場最為關注的還是房地產問題，目前「保交樓」和「穩民生」仍然是地產領域的關鍵任務，因此停貸事件將可望緩解，當前房地產問題處於逐漸趨穩階段，政治局會議整體延續先前政策落實的基調，預計重點在綜合施策擴大有效需求，長線陸股仍看好。</p><p>台新中國精選中小基金經理人游欣穎指出，疫情、房地產等不確定因素將有望逐步緩解，配合政策持續推出，經濟穩步復甦情勢不變，但近期海外市場風險加大，包括美國經濟面臨技術性衰退、中美關係變化，都將促使陸股短期呈現震盪格局。但展望中長期，經濟底部復甦邏輯不變，且20大後，有望端出政策紅利，A股中長期趨勢仍不看淡，建議短期回調後仍可趁勢布局。</p><p>野村中國機會基金經理朱繼元表示，大陸經濟已步上復甦軌道，高層亦有經濟成長目標壓力，由於在10月20大會議前推出重大刺激政策的機率不高，預期會議結束後，股市可望在基本面好轉及刺激政策重新推出的帶動下，重回多頭行情。目前看好長期趨勢明確的新能源產業如電動車、風電、太陽能等，以及受惠疫情解封的消費類股與具政策支持的國產半導體產業。</p>, 08/26 21:03 
43,終結週K連7紅 法人：台股進入實質基本面下修階段,<p>今日台股加權股價指數收在1萬5278.44點，較上週下跌130.34點、0.85％。終結週K連7紅局面。群益長安基金經理人王耀龍指出，之前市場是反應評價下修的拉回，現在已經進入實質基本面下修的階段，台股反彈接近壓力區，中秋變盤機會大增，回檔才能把空間拉大，從而進入選舉行情。</p><p>外資今年以來累計賣超台股金額將近一兆，大型權值股賣壓相對大，中小型個股為主的櫃買指數，表現相對佳。</p><p>王耀龍表示，本土疫情降溫，開放邊境指日可待，旅遊商機再起，加上波音及空中巴士皆釋出不錯的展望，航空、解封產業值得留意。長線看好蘋概股、光學、低軌道衛星、光通訊概念股、ESL、電動車、車用零組件、網通等相關類股。</p>, 08/26 21:02 
44,巴菲特指標助趨吉避凶 建立量化指標投資人進退有據,<p>抱股或存股如何規避風險避免抱上又抱下，巴菲特指標協助提醒市場可能面臨修正風險，避免存股遭受市場波及。</p><p>存股族或波段投資人投資時，常見市場修正波動回吐了獲利或侵蝕了本金。如何適時保護手中的股票部位？寶錸投顧總經理鄭琮寰指出，投資人不妨利用所謂巴菲特指標監控市場，指標居高反轉時，適時做些避險來保護自己的持股部位。</p><p>鄭琮寰指出，統計過去十年來，股市市值與GDP比值居高後回落，次月大盤指數下跌的機會相當高，統計共有21次其中20次指標居高回檔後，次月指數都以下跌作收。今年的3月、5月指標高檔回落，4月與6月台股也以跌勢收場。</p><p>鄭琮寰指出，股市市值與GDP佔比其實隱含著股價的表現是否和基本面脫鉤，比值越高表示股價越貴，隨後市場容易發生修正，投資人可藉此作為監控市場的依據，並制定自己投資避險的方式。</p><p>不過，他指出，運用這種方式也有兩個盲點，其一是GDP是動態性的，一但GDP大幅成長，指標不易即時反應則會誤判股價過高，例如2020年台灣GDP呈現成長態勢；另一是，指標回落後也代表股市可能修正過，較難反映出及時進場的時機，因此鄭琮寰建議，投資人對於巴菲特指標主要運用於避險策略。</p><p>寶錸投顧建議，投資人理財屬性以及方式多有不同，為了確保資產能穩健增值就得適時規避風險；投資人應建立屬於自己觀盤的指標，協助自己交易的紀律。</p>, 08/26 20:58 
45,兆豐銀行國際專業CFP再傳捷報 理財規劃顧問認證成績表現亮眼,"<p>兆豐銀行衝刺財富管理，大手筆祭出補助培育理財規劃顧問，以提升財富管理專業能力，在8月26日臺灣理財顧問認證協會所舉辦的CFP與AFP授證典禮中，兆豐銀行再添8位取得認證，成績表現亮眼。</p><p>「國際認證高級理財規劃顧問」(Certified Financial Planner,CFP)是國際財富管理規劃的專業認證，經國際理財規劃顧問認證協會總會嚴格規範，須完成六項專業教育訓練共240小時課程，並取得AFP綜合科目考試通過資格後，才能參加CFP證照考試，且需具備3年理財規劃相關工作經驗，通過後始取得認證資格，故取得資格之理財規劃顧問，代表其具備服務高資產客戶、風險與保險規劃、稅務規劃、投資規劃、退休金與財產規劃及全方位理財規劃等金融專業跨領域核心技能。</p><p>為深化高端理財客群專屬服務，兆豐銀行於2021年4月26日起開辦高資產業務，並致力於培育CFPR金融專業人才，近期更積極培訓高齡金融規劃顧問師、家族信託規劃顧問師及高資產財富管理人才，參訓人次近300人。</p><p>為持續提升服務品質，兆豐銀行更積極參與臺灣理財顧問認證協會「CFP義工相關活動」，推動金融知識宣導，建立民眾正確的理財觀念，不管是在財富管理或公益服務，兆豐銀行秉持多一分同理心，讓服務多一分溫度，亦獲得協會感謝狀肯定。</p><p>此外，兆豐銀行精心制定理財客戶服務禮儀，以溫暖、貼心的專業服務，為客戶提供全方位理財規劃，實現客戶樂活人生及資產傳承目標，體現客戶對兆豐銀行的認同與價值。</p>", 08/26 20:57 
46,企業E起來 華銀ESG線上講座迴響熱烈,"<p>為協助中小企業了解永續發展的核心，華南銀行與台灣中小企業聯合輔導基金會攜手合作，於8月25日辦理「企業E起來 解開ESG關鍵密碼」線上講座，邀請在永續議題方面富有盛名的台灣科技大學管理學院副院長郭財吉專題演講，吸引逾360家中小企業、550人以上參與，同時透過提問互動，讓參與者更進一步瞭解ESG對於中小企業的影響以及未來發展的方向。</p><p>郭財吉指出，政府目標是在2050年達到淨零碳排，也訂定了上市櫃公司溫室氣體盤查揭露時程，俾利企業遵循配合，企業可以考量本身在產業供應鏈的定位，透過「科學基礎減量目標倡議」（Science Based Targets Initiative, SBTi）指引建立減碳目標，利用提升效能、循環經濟、使用綠色能源等多重方式進行碳排減量。</p><p>主辦單位華南銀行長期協助企業接軌ESG，以自身金融業核心業務及價值為基礎，於授信流程中積極回應相關議題，與企業共同實踐永續發展；另外，為接軌國際，華南銀行已簽署赤道原則，未來會將氣候變遷風險與永續會計原則，編入風險管理政策及編製準則中，使ESG資訊更加公開及透明。</p><p>截至2022年6月底，華南銀行投資綠色債券、社會責任債券及可持續發展債券，合計金額已達149億元，綠色產業授信餘額逾3,600億元，ESG聯貸金額也超過300億元以上，充分展現對政府綠色金融政策的支持。</p><p>展望未來，華南銀行也將持續結合相同理念之企業，共同實踐企業社會責任，透過金融影響力持續促進環境永續發展，以支持客戶達成ESG目標，朝永續經營企業邁進。</p>", 08/26 20:54 
47,緯創以AMR產業技術安全標準 開發機器人Wifundity,<p>緯創攜手工研院、自主移動機器人聯盟，共同發布首份AMR產業技術安全標準，緯創AMR團隊並以此開發出Wifundity 自主移動機器人，獲「2022台灣精品獎」。</p><p>Wifundity 提供軟硬體整合與全智能解決方案，透過專業用服務型AMR平台架構，以通用模組化的彈性優勢，與各專業領域系統整合商合作，推出適用於不同面向、多元場域的功能應用，在日益複雜且多工型任務導向的場域中，讓營運的效益最大化，工作人員只要專注於更能提升價值的任務上，建構完整的智慧自動化服務生態圈，加速各個產業客戶共同開啟智慧升級並落實企業ESG政策。</p><p>Wifundity自主移動機器人，上層為功能性的應用平台，下層則是通用自主移動平台，可依不同任務部署或調整替換，從成本及作業現場調度而言，都具最彈性化的升級優勢，並以視覺化網頁管理系統平台讓一般使用者都能輕鬆學習上手，以因應敏捷化的商機趨勢或不可預期的作業調度需求。搭載光達、3D攝影鏡頭、超音波及紅外線感測器，安全導向的設計思維，可自主判斷環境特徵，自動導航定位與避障，達到安全無虞的作業環境。</p><p>依據工研院積極擘畫之「2030技術策略與藍圖」，緯創將持續在永續環境應用領域中，因應當前產業與未來市場趨勢，結合機械、電子、資通訊、AI人工智慧等跨領域的研發優勢</p>, 08/26 20:52 
48,台股反攻 台股基金看漲,"<p>美國財報季度調整、台海兩岸情勢等變數告一段落，近期台股持續反攻。投信法人指出，台股基本面仍佳，且台股市場經歷多空循環，只要採取紀律選股、搭配彈性調節與聚焦趨勢成長題材，可鎖定長青樹型或具備趨勢型的台股基金。</p><p>兆豐第一基金研究團隊指出，目前持續看好受惠升息循環後的金融股，特別偏重銀行股的利多面；綠能產業站穩全球政策關鍵地位，各國政府與企業持續推動綠能政策與產品營運模式，也持續看好生技、航太及新能源類股。另外，大陸政策汽車購置稅減半、新能源車購置稅補貼延長，後續建議將逢低布局汽車零組件題材，將有長線發展機會。</p><p>台新中國通基金經理人魏永祥表示，整體而言，即使下半年科技股面臨庫存調整，恐有旺季不旺風險，但6月台股已大幅修正，融資餘額亦大幅減碼，除非出現重大系統風險，否則14,000點支撐性仍強，預期下半年仍有次產業或個股表現的機會。類股操作上，看好族群中，電子股以晶圓代工、IC設備、IC載板、光電、網通、電子零組件等為主；傳產股以紡織、生技、解封受惠等族群為主。</p>", 08/26 20:43 
49,市場仍存高度不確定性 多元配置最安心,<p>7月聯準會會議持續升息，為避免通膨預期回升，市場預期聯準會官員後續談話內容仍將偏向鷹派，且目前就業與薪資成長卻未見溫和降溫，顯示通膨走向仍未明朗，使市場升息預期仍存高度不確定性，此時投資人可採取多元配置，降低風險。</p><p>日盛目標收益組合基金研究團隊表示，美國不至於走入衰退論點，主因實質性衰退要看的指標很多，現階段建議在布局上不追高，在全球經濟受到升息利空下尋找底部，核心投資部位宜採穩健策略、建議投資以組合平衡型採多元方式布局為宜。</p><p>群益潛力收益多重資產基金經理人徐煒庠表示，近期行情浮現的築底跡象關鍵點在於通膨降溫的預期共識，同時經濟動能軟著陸的機會尚未消失，後續仍持續關注企業獲利與消費者動能，及聯準會點陣圖提供的中性利率預期路徑，短期行情對於經濟風險的疑慮料將持續影響資產價格維持較大波動風險。</p><p>整體而言，仍建議採股優於債的配置策略，長期而言股票依舊是抗通膨最佳資產，建議可以美股作為主流核心配置，適度搭載優質收益資產，以兼顧資本利得報酬與息收，也平衡投資組合波動，在機會與風險並存的環境中穩健因應。</p>, 08/26 20:42 
